<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
L63,20161006,10.0000,10.0000,10.0000,10.0000,1000
L63,20161007,10.0000,10.0000,10.0000,10.0000,0
L63,20161010,10.0000,10.0000,10.0000,10.0000,0
L63,20161011,10.0000,10.0000,10.0000,10.0000,0
L63,20161012,10.0000,10.0000,10.0000,10.0000,0
L63,20161013,8.5000,8.5000,8.5000,8.5000,100
L63,20161014,7.3000,7.3000,7.3000,7.3000,600
L63,20161017,7.3000,7.3000,7.3000,7.3000,0
L63,20161018,6.3000,6.3000,6.3000,6.3000,1500
L63,20161019,5.5000,5.5000,5.5000,5.5000,3300
L63,20161020,4.7000,4.7000,4.7000,4.7000,3000
L63,20161021,4.2000,4.2000,4.0000,4.0000,10700
L63,20161024,4.1000,4.1000,4.1000,4.1000,0
L63,20161025,4.5000,4.5000,4.5000,4.5000,1000
L63,20161026,4.0000,4.0000,4.0000,4.0000,8000
L63,20161027,4.5000,4.5000,4.5000,4.5000,600
L63,20161028,5.0000,5.0000,5.0000,5.0000,800
L63,20161031,5.0000,5.0000,4.3000,5.0000,1200
L63,20161101,5.3000,5.3000,5.3000,5.3000,1500
L63,20161102,4.6000,5.3000,4.6000,5.3000,1100
L63,20161103,5.2000,5.2000,5.2000,5.2000,1200
L63,20161104,4.5000,5.0000,4.5000,5.0000,7900
L63,20161107,4.1000,4.1000,4.1000,4.1000,200
L63,20161108,4.5000,4.5000,4.5000,4.5000,500
L63,20161109,4.0000,4.0000,4.0000,4.0000,8600
L63,20161110,4.0000,4.0000,4.0000,4.0000,0
L63,20161111,4.0000,4.0000,4.0000,4.0000,0
L63,20161114,4.0000,4.0000,4.0000,4.0000,0
L63,20161115,4.0000,4.0000,4.0000,4.0000,0
L63,20161116,4.0000,4.0000,4.0000,4.0000,0
L63,20161117,4.0000,4.0000,4.0000,4.0000,0
L63,20161118,4.6000,4.6000,4.6000,4.6000,100
L63,20161121,4.8000,4.8000,4.8000,4.8000,1200
L63,20161122,5.0000,5.0000,5.0000,5.0000,3000
L63,20161123,5.0000,5.0000,5.0000,5.0000,0
L63,20161124,5.0000,5.0000,5.0000,5.0000,0
L63,20161125,5.0000,5.0000,5.0000,5.0000,3400
L63,20161128,5.0000,5.0000,5.0000,5.0000,0
L63,20161129,5.0000,5.0000,5.0000,5.0000,0
L63,20161130,5.0000,5.0000,5.0000,5.0000,0
L63,20161201,5.0000,5.0000,5.0000,5.0000,0
L63,20161202,5.0000,5.0000,5.0000,5.0000,0
L63,20161205,5.0000,5.0000,5.0000,5.0000,0
L63,20161206,5.0000,5.0000,5.0000,5.0000,0
L63,20161207,5.0000,5.0000,5.0000,5.0000,0
L63,20161208,5.0000,5.0000,5.0000,5.0000,0
L63,20161209,5.0000,5.0000,5.0000,5.0000,4300
L63,20161212,5.0000,5.0000,5.0000,5.0000,800
L63,20161213,5.0000,5.0000,5.0000,5.0000,10000
L63,20161214,5.0000,5.0000,5.0000,5.0000,0
L63,20161215,5.0000,5.0000,5.0000,5.0000,0
L63,20161216,5.0000,5.0000,5.0000,5.0000,0
L63,20161219,5.0000,5.0000,5.0000,5.0000,0
L63,20161220,5.0000,5.0000,5.0000,5.0000,0
L63,20161221,5.0000,5.0000,5.0000,5.0000,0
L63,20161222,5.0000,5.0000,5.0000,5.0000,0
L63,20161223,5.0000,5.0000,5.0000,5.0000,0
L63,20161226,5.0000,5.0000,5.0000,5.0000,8900
L63,20161227,5.0000,5.0000,5.0000,5.0000,0
L63,20161228,5.0000,5.0000,5.0000,5.0000,0
L63,20161229,5.0000,5.0000,5.0000,5.0000,0
L63,20161230,5.0000,5.0000,5.0000,5.0000,0
L63,20170103,5.0000,5.0000,5.0000,5.0000,0
L63,20170104,5.0000,5.0000,5.0000,5.0000,0
L63,20170105,5.0000,5.0000,5.0000,5.0000,0
L63,20170106,5.0000,5.0000,5.0000,5.0000,0
L63,20170109,5.0000,5.0000,5.0000,5.0000,0
L63,20170110,5.0000,5.0000,5.0000,5.0000,0
L63,20170111,5.0000,5.0000,5.0000,5.0000,0
L63,20170112,5.0000,5.0000,5.0000,5.0000,0
L63,20170113,5.0000,5.0000,5.0000,5.0000,0
L63,20170116,5.0000,5.0000,5.0000,5.0000,0
L63,20170117,5.0000,5.0000,5.0000,5.0000,0
L63,20170118,5.0000,5.0000,5.0000,5.0000,0
L63,20170119,5.0000,5.0000,5.0000,5.0000,0
L63,20170120,5.0000,5.0000,5.0000,5.0000,0
L63,20170123,5.0000,5.0000,5.0000,5.0000,0
L63,20170124,5.0000,5.0000,5.0000,5.0000,0
L63,20170125,5.0000,5.0000,5.0000,5.0000,0
L63,20170202,5.0000,5.0000,5.0000,5.0000,0
L63,20170203,5.0000,5.0000,5.0000,5.0000,0
L63,20170206,5.0000,5.0000,5.0000,5.0000,0
L63,20170207,5.0000,5.0000,5.0000,5.0000,0
L63,20170208,5.0000,5.0000,5.0000,5.0000,0
L63,20170209,5.0000,5.0000,5.0000,5.0000,0
L63,20170210,5.0000,5.0000,5.0000,5.0000,0
L63,20170213,5.0000,5.0000,5.0000,5.0000,0
L63,20170214,5.0000,5.0000,5.0000,5.0000,0
L63,20170215,5.0000,5.0000,5.0000,5.0000,0
L63,20170216,5.0000,5.0000,5.0000,5.0000,0
L63,20170217,5.0000,5.0000,5.0000,5.0000,0
L63,20170220,5.0000,5.0000,5.0000,5.0000,0
L63,20170221,5.0000,5.0000,5.0000,5.0000,0
L63,20170222,5.0000,5.0000,5.0000,5.0000,0
L63,20170223,5.0000,5.0000,5.0000,5.0000,0
L63,20170224,5.0000,5.0000,5.0000,5.0000,0
L63,20170227,6.9000,6.9000,6.9000,6.9000,800
L63,20170228,6.9000,6.9000,6.9000,6.9000,40
L63,20170301,5.9000,5.9000,5.9000,5.9000,300
L63,20170302,5.9000,5.9000,5.9000,5.9000,0
L63,20170303,5.9000,5.9000,5.9000,5.9000,0
L63,20170306,6.5000,6.5000,6.5000,6.5000,300
L63,20170307,6.5000,6.5000,6.5000,6.5000,0
L63,20170308,6.5000,6.5000,6.5000,6.5000,0
L63,20170309,6.5000,6.5000,6.5000,6.5000,0
L63,20170310,6.5000,6.5000,6.5000,6.5000,0
L63,20170313,6.5000,6.5000,6.5000,6.5000,0
L63,20170314,6.5000,6.5000,6.5000,6.5000,0
L63,20170315,7.4000,7.4000,5.6000,5.6000,1217
L63,20170316,6.6000,6.6000,6.6000,6.6000,100
L63,20170317,6.6000,6.6000,6.6000,6.6000,0
L63,20170320,6.6000,6.6000,6.6000,6.6000,57
L63,20170321,6.6000,6.6000,6.6000,6.6000,0
L63,20170322,5.7000,5.7000,5.7000,5.7000,6020
L63,20170323,6.5000,6.5000,6.5000,6.5000,100
L63,20170324,7.0000,7.0000,7.0000,7.0000,9800
L63,20170327,7.0000,7.0000,7.0000,7.0000,100
L63,20170328,7.0000,7.0000,7.0000,7.0000,4000
